Year,Month,District,Temp_2m,Precip,MaxTemp_2m,MinTemp_2m,Humidity_2m,Pressure,WindSpeed_50m
2000,1,Syangja,10.412903225806453,2.17,18.135161290322586,5.51741935483871,2.4680645161290324,86.21709677419355,2.5016129032258063
2000,2,Syangja,10.231724137931035,3.46,17.75551724137931,4.884137931034482,2.644137931034483,86.0803448275862,2.927586206896552
2000,3,Syangja,15.849032258064517,2.03,24.024516129032257,8.981935483870968,2.418064516129032,85.96548387096773,3.232903225806452
2000,4,Syangja,22.551666666666662,1.44,30.696666666666665,15.198,3.4243333333333337,85.70566666666667,3.546666666666667
2000,5,Syangja,24.51129032258065,60.31,30.49483870967742,18.966129032258067,10.048064516129031,85.64741935483872,2.843870967741936
2000,6,Syangja,23.52433333333333,137.96,27.982666666666667,19.523666666666667,14.582666666666666,85.453,2.9736666666666665
2000,7,Syangja,,194.87,26.355483870967745,19.69741935483871,16.61741935483871,85.41870967741936,2.845806451612903
2000,8,Syangja,22.47193548387097,214.85,26.501612903225805,19.256774193548388,16.26709677419355,85.53774193548388,2.79
2000,9,Syangja,20.215333333333334,134.03,23.824666666666666,17.43433333333333,14.778,85.80666666666666,2.182
2000,10,Syangja,,,24.74741935483871,14.65032258064516,9.438709677419356,86.08967741935483,2.12
2000,11,Syangja,14.569666666666668,6.85,21.296,10.334666666666667,5.747333333333333,86.29666666666667,2.253333333333333
2000,12,Syangja,11.16483870967742,0.04,18.528387096774196,6.8993548387096775,3.2216129032258065,86.31870967741936,1.9954838709677416
2001,1,Syangja,9.863225806451611,0.1,17.68548387096774,5.1332258064516125,2.6906451612903224,86.13903225806452,2.2912903225806454
2001,2,Syangja,13.060357142857145,0.23,21.272142857142857,7.354999999999999,2.564285714285714,86.0592857142857,2.7889285714285714
2001,3,Syangja,16.699677419354842,9.74,24.90967741935484,9.964516129032257,2.8848387096774197,86.06548387096775,3.2567741935483867
2001,4,Syangja,,7.35,29.13833333333333,14.648333333333332,4.54,85.93333333333334,3.479
2001,5,Syangja,23.99258064516129,57.45,29.966451612903228,18.426451612903225,10.048709677419357,85.60645161290323,2.727096774193549
2001,6,Syangja,24.259666666666664,86.99,29.06433333333333,20.087,14.357666666666669,85.382,2.7136666666666667
2001,7,Syangja,23.94225806451613,142.56,28.31032258064516,20.43193548387097,16.039354838709677,85.44612903225806,2.7435483870967743
2001,8,Syangja,23.07709677419355,184.71,27.1658064516129,19.835806451612903,16.52709677419355,85.60064516129032,2.5893548387096774
2001,9,Syangja,20.683666666666667,169.14,24.578,17.708000000000002,14.815666666666669,85.88533333333334,2.0723333333333334
2001,10,Syangja,18.48,26.48,23.78935483870968,14.571612903225809,10.355483870967742,86.17322580645161,2.163548387096774
2001,11,Syangja,14.891333333333334,0.7200000000000001,21.627666666666663,10.601,5.623,86.42966666666666,2.128
2001,12,Syangja,10.867096774193548,0.0,18.003225806451614,6.727741935483871,3.490322580645161,86.52774193548387,2.0341935483870968
2002,1,Syangja,,13.87,16.32516129032258,5.470967741935484,3.673548387096774,86.34354838709677,2.3374193548387097
2002,2,Syangja,12.610714285714286,13.72,20.483214285714286,7.097857142857143,3.5928571428571425,86.42142857142858,2.730357142857143
2002,3,Syangja,17.376774193548385,9.76,25.08483870967742,11.066451612903226,3.851290322580645,86.12096774193549,3.0022580645161288
2002,4,Syangja,22.098000000000003,1.2600000000000002,29.63733333333333,15.212666666666667,4.658333333333333,85.89899999999999,3.2936666666666667
2002,5,Syangja,24.02774193548387,,30.52354838709677,18.00548387096774,9.038709677419355,85.61129032258064,3.0987096774193548
2002,6,Syangja,24.92,66.22,30.35666666666667,19.907666666666668,12.887,85.5,2.793333333333333
2002,7,Syangja,25.00064516129032,,30.19516129032258,20.6858064516129,14.301612903225807,85.3474193548387,2.821935483870968
2002,8,Syangja,23.406129032258065,32.65,28.006451612903227,19.79225806451613,15.286129032258064,85.61225806451613,2.859677419354839
2002,9,Syangja,21.677666666666667,80.76,26.811,17.808,13.091666666666669,85.96133333333334,2.546
2002,10,Syangja,18.90967741935484,11.76,25.08516129032258,14.143548387096772,8.706774193548387,86.21935483870968,2.252903225806452
2002,11,Syangja,15.302666666666664,0.5800000000000001,22.554,10.382333333333332,4.718999999999999,86.35033333333334,2.319
2002,12,Syangja,11.379677419354838,16.53,18.7041935483871,6.991612903225807,3.1025806451612907,86.36129032258064,2.1619354838709675
2003,1,Syangja,9.695806451612905,6.88,17.371935483870967,5.086129032258064,2.955483870967742,86.43064516129031,2.174516129032258
2003,2,Syangja,11.391071428571427,28.69,18.60607142857143,6.175357142857143,4.2700000000000005,86.28928571428571,2.654642857142857
2003,3,Syangja,15.956774193548387,0.99,23.48741935483871,9.733548387096777,4.259032258064516,86.12258064516129,2.9016129032258067
2003,4,Syangja,22.42633333333333,12.95,29.944666666666667,15.551333333333334,4.5,85.964,3.132
2003,5,Syangja,23.720645161290324,,30.80548387096774,16.710322580645162,5.762903225806451,85.69419354838709,3.189032258064516
2003,6,Syangja,25.170333333333332,80.08,30.67366666666667,20.232000000000003,11.741666666666667,85.346,2.9896666666666665
2003,7,Syangja,23.175161290322578,166.54,27.32322580645161,19.853870967741937,16.31451612903226,85.58645161290322,2.9538709677419352
2003,8,Syangja,23.12451612903226,112.7,27.168709677419358,19.89967741935484,16.388064516129035,85.63032258064516,2.766451612903226
2003,9,Syangja,21.688,77.51,25.677333333333333,18.655666666666665,15.176666666666668,85.841,2.443
2003,10,Syangja,,17.150000000000002,25.49741935483871,14.586129032258064,8.682903225806452,86.23838709677419,2.192903225806452
