,Temp_2m
2020-01-31,5.142438522245711
2020-02-29,7.090734551696835
2020-03-31,10.81984577222661
2020-04-30,14.98726278847512
2020-05-31,17.279709162336523
2020-06-30,18.796140270154915
2020-07-31,18.37773836999481
2020-08-31,17.881934107017493
2020-09-30,16.42311834143802
2020-10-31,13.077671718417683
2020-11-30,9.666439399246809
2020-12-31,6.7008815989791515
2021-01-31,5.189707995034074
2021-02-28,7.138356315839983
2021-03-31,10.867819827724547
2021-04-30,15.035589135327843
2021-05-31,17.328387800544036
2021-06-30,18.845171199717214
2021-07-31,18.427121590911895
2021-08-31,17.931669619289366
2021-09-30,16.473206145064683
2021-10-31,13.128111813399135
2021-11-30,9.717231785583047
2021-12-31,6.752026276670179
2022-01-31,5.241204964079887
2022-02-28,7.190205576240585
2022-03-31,10.920021379479936
2022-04-30,15.08814297843802
2022-05-31,17.381293935009
2022-06-30,18.89842962553697
2022-07-31,18.480732308086438
2022-08-31,17.985632627818696
2022-09-30,16.527521444948796
2022-10-31,13.182779404638039
2022-11-30,9.772251668176736
2022-12-31,6.807398450618658
2023-01-31,5.296929429383153
2023-02-28,7.246282332898639
2023-03-31,10.976450427492779
2023-04-30,15.14492431780565
2023-05-31,17.438427565731416
2023-06-30,18.955915547614175
2023-07-31,18.53857052151843
2023-08-31,18.043823132605475
2023-09-30,16.586064241090366
2023-10-31,13.241674492134393
2023-11-30,9.831499047027881
2023-12-31,6.866998120824588
2024-01-31,5.356881390943873
2024-02-29,7.306586585814143
2024-03-31,11.037106971763073
2024-04-30,15.205933153430731
2024-05-31,17.499788692711288
2024-06-30,19.01762896594883
2024-07-31,18.600636231207872
2024-08-31,18.106241133649707
2024-09-30,16.648834533489385
2024-10-31,13.304797075888201
2024-11-30,9.894973922136476
2024-12-31,6.930825287287972
2025-01-31,5.4210608487620435
2025-02-28,7.371118334987104
2025-03-31,11.101991012290817
2025-04-30,15.271169485313266
2025-05-31,17.56537731594861
2025-06-30,19.08356988054094
2025-07-31,18.66692943715477
2025-08-31,18.172886630951393
2025-09-30,16.715832322145857
2025-10-31,13.372147155899462
2025-11-30,9.962676293502522
2025-12-31,6.998879950008806
2026-01-31,5.489467802837665
2026-02-28,7.439877580417514
2026-03-31,11.171102549076016
2026-04-30,15.340633313453251
2026-05-31,17.635193435443384
2026-06-30,19.153738291390496
2026-07-31,18.73745013935912
2026-08-31,18.24375962451053
2026-09-30,16.787057607059783
2026-10-31,13.443724732168173
2026-11-30,10.034606161126023
2026-12-31,7.071162108987092
