,Temp_2m
2020-01-31,8.938950444416122
2020-02-29,11.343175271667373
2020-03-31,15.47994093617719
2020-04-30,19.83132339431313
2020-05-31,21.912987197121893
2020-06-30,22.808726402328432
2020-07-31,21.725895678863136
2020-08-31,21.186749865435694
2020-09-30,19.863390490059672
2020-10-31,16.921521287879397
2020-11-30,13.444746616563222
2020-12-31,10.310096357265651
2021-01-31,9.024117029511302
2021-02-28,11.42908980947476
2021-03-31,15.566603426696787
2021-04-30,19.918733837544938
2021-05-31,22.00114559306591
2021-06-30,22.89763275098466
2021-07-31,21.815549980231573
2021-08-31,21.277152119516337
2021-09-30,19.954540696852526
2021-10-31,17.01341944738446
2021-11-30,13.537392728780496
2021-12-31,10.403490422195132
2022-01-31,9.118259047152993
2022-02-28,11.523979779828661
2022-03-31,15.662241349762898
2022-04-30,20.015119713323262
2022-05-31,22.09827942155644
2022-06-30,22.9955145321874
2022-07-31,21.914179714146524
2022-08-31,21.376529806143495
2022-09-30,20.054666336191897
2022-10-31,17.11429303943604
2022-11-30,13.63901427354428
2022-12-31,10.50585991967113
2023-01-31,9.2213764973412
2023-02-28,11.627845182729079
2023-03-31,15.766854705375522
2023-04-30,20.120481021648093
2023-05-31,22.204388682593486
2023-06-30,23.10237174593665
2023-07-31,22.021784880607985
2023-08-31,21.48488292531717
2023-09-30,20.163767408077778
2023-10-31,17.22414206403413
2023-11-30,13.749611250854581
2023-12-31,10.61720484969364
2024-01-31,9.333469380075918
2024-02-29,11.740686018176007
2024-03-31,15.88044349353466
2024-04-30,20.23481776251944
2024-05-31,22.31947337617704
2024-06-30,23.21820439223242
2024-07-31,22.13836547961596
2024-08-31,21.602211477037354
2024-09-30,20.28184391251017
2024-10-31,17.342966521178734
2024-11-30,13.869183660711396
2024-12-31,10.737525212262662
2025-01-31,9.45453769535715
2025-02-28,11.862502286169448
2025-03-31,16.003007714240308
2025-04-30,20.358129935937303
2025-05-31,22.443533502307112
2025-06-30,23.343012471074697
2025-07-31,22.26392151117045
2025-08-31,21.728515461304053
2025-09-30,20.408895849489078
2025-10-31,17.47076641086985
2025-11-30,13.997731503114721
2025-12-31,10.866821007378197
2026-01-31,9.584581443184899
2026-02-28,11.993293986709403
2026-03-31,16.134547367492477
2026-04-30,20.490417541901675
2026-05-31,22.576569060983694
2026-06-30,23.476795982463493
2026-07-31,22.39845297527145
2026-08-31,21.863794878117265
2026-09-30,20.5449232190145
2026-10-31,17.60754173310748
2026-11-30,14.135254778064564
2026-12-31,11.00509223504025
