,Temp_2m
2020-01-31,9.529845238350491
2020-02-29,12.037559819750811
2020-03-31,16.54415151692264
2020-04-30,21.40241408880447
2020-05-31,23.501125959836163
2020-06-30,24.165421000985457
2020-07-31,22.649945986445903
2020-08-31,22.084207367830402
2020-09-30,20.744935252665837
2020-10-31,17.823416737726404
2020-11-30,14.131869564947575
2020-12-31,10.831439433254097
2021-01-31,9.575092471678223
2021-02-28,12.08335993319945
2021-03-31,16.59050451049218
2021-04-30,21.449319962494915
2021-05-31,23.548584713647514
2021-06-30,24.213432634917712
2021-07-31,22.698510500499058
2021-08-31,22.133324762004463
2021-09-30,20.794605526960805
2021-10-31,17.873639892142275
2021-11-30,14.18264559948435
2021-12-31,10.882768347911778
2022-01-31,9.626974266456804
2022-02-28,12.135794608098934
2022-03-31,16.64349206551257
2022-04-30,21.50286039763621
2022-05-31,23.602678028909715
2022-06-30,24.268078830300816
2022-07-31,22.753709576003068
2022-08-31,22.189076717629376
2022-09-30,20.85091036270662
2022-10-31,17.93049760800899
2022-11-30,14.240056195471976
2022-12-31,10.940731824020308
2023-01-31,9.68549062268624
2023-02-28,12.194863844449277
2023-03-31,16.703114181983814
2023-04-30,21.563035394228358
2023-05-31,23.663405905622767
2023-06-30,24.329359587134768
2023-07-31,22.81554321295793
2023-08-31,22.25146323470514
2023-09-30,20.91384975990329
2023-10-31,17.993989885326567
2023-11-30,14.304101352910454
2023-12-31,11.005329861579689
2024-01-31,9.750641540366525
2024-02-29,12.26056764225046
2024-03-31,16.76937085990591
2024-04-30,21.629844952271355
2024-05-31,23.730768343786668
2024-06-30,24.397274905419575
2024-07-31,22.88401141136364
2024-08-31,22.32048431323176
2024-09-30,20.98342371855081
2024-10-31,18.06411672409499
2024-11-30,14.37478107179978
2024-12-31,11.076562460589923
2025-01-31,9.822427019497662
2025-02-28,12.332906001502504
2025-03-31,16.842262099278855
2025-04-30,21.703289071765205
2025-05-31,23.804765343401424
2025-06-30,24.471824785155235
2025-07-31,22.959114171220204
2025-08-31,22.396139953209225
2025-09-30,21.059632238649183
2025-10-31,18.140878124314266
2025-11-30,14.452095352139963
2025-12-31,11.154429621051008
2026-01-31,9.90084706007965
2026-02-28,12.411878922205396
2026-03-31,16.921787900102654
2026-04-30,21.783367752709907
2026-05-31,23.885396904467026
2026-06-30,24.553009226341743
2026-07-31,23.04085149252762
2026-08-31,22.478430154637543
2026-09-30,21.142475320198407
2026-10-31,18.224274085984394
2026-11-30,14.536044193930994
2026-12-31,11.238931342962942
